code,*Tooltip
ac,\+(\d+) Defense
ac-miss,\+(\d+) Defense vs. Missile
ac-hth,\+(\d+) Defense vs. Melee
red-dmg,Damage Reduced by (\d+)
red-dmg%,Damage Reduced by (\d+)%
ac%,\+(\d+)% Enhanced Defense
red-mag,Magic Damage Reduced by (\d+)
str,\+(\d+) to Strength
dex,\+(\d+) to Dexterity
vit,\+(\d+) to Vitality
enr,\+(\d+) to Energy
mana,\+(\d+) to Mana
mana%,Increase Maximum Mana (\d+)%
hp,\+(\d+) to Life
hp%,Increase Maximum Life (\d+)%
att,\+(\d+) to Attack Rating
block,(\d+)% Increased Chance of Blocking
cold-min,\+(\d+) to Minimum Cold Damage
cold-max,\+(\d+) to Maximum Cold Damage
fire-min,\+(\d+) to Minimum Fire Damage
fire-max,\+(\d+) to Maximum Fire Damage
ltng-min,\+(\d+) to Minimum Lightning Damage
ltng-max,\+(\d+) to Maximum Lightning Damage
pois-min,\+(\d+) to Minimum Poison Damage
pois-max,\+(\d+) to Maximum Poison Damage
dmg-min,\+(\d+) to Minimum Damage
dmg-max,\+(\d+) to Maximum Damage
dmg%,\+(\d+)% Enhanced Damage
dmg-to-mana,(\d+)% Damage Taken Goes To Mana
res-fire,Fire Resist \+(\d+)%
res-fire-max,\+(\d+)% to Maximum Fire Resist
res-ltng,Lightning Resist \+(\d+)%
res-ltng-max,\+(\d+)% to Maximum Lightning Resist
res-cold,Cold Resist \+(\d+)%
res-cold-max,\+(\d+)% to Maximum Cold Resist
res-mag,Magic Resist \+(\d+)%
res-mag-max,\+(\d+)% to Maximum Magic Resist
res-pois,Poison Resist \+(\d+)%
res-pois-max,\+(\d+)% to Maximum Poison Resist
res-all,All Resistances \+(\d+)
abs-fire%,\+(\d+) Fire Absorb
abs-fire,Fire Absorb (\d+)%
abs-ltng%,\+(\d+) Lightning Absorb
abs-ltng,Lightning Absorb (\d+)%
abs-mag%,\+(\d+) Magic Absorb
abs-mag,Magic Absorb (\d+)%
abs-cold%,\+(\d+) Cold Absorb
abs-cold,Cold Absorb (\d+)%
dur,Durability: (\d+) of (\d+)
dur%,Increase Maximum Durability (\d+)%
regen,Replenish Life \+(\d+)
thorns,Attacker Takes Damage of (\d+)
swing1,\+(\d+)% Increased Attack Speed
gold%,(\d+)% Extra Gold from Monsters
mag%,(\d+)% Better Chance of Getting Magic Items
knock,Knockback
regen-stam,Heal Stamina Plus (\d+)%
regen-mana,Regenerate Mana (\d+)%
stam,\+(\d+) Maximum Stamina
manasteal,(\d+)% Mana stolen per hit
lifesteal,(\d+)% Life stolen per hit
ama,\+(\d+) to Amazon Skill Levels
pal,\+(\d+) to Paladin Skill Levels
nec,\+(\d+) to Necromancer Skill Levels
sor,\+(\d+) to Sorceress Skill Levels
bar,\+(\d+)  to Barbarian Skill Levels
light,\+(\d+) to Light Radius
ease,Requirements -(\d+)%
move1,\+(\d+)% Faster Run/Walk
balance1,\+(\d+)% Faster Hit Recovery
block1,\+(\d+)% Faster Block Rate
cast1,\+(\d+)% Faster Cast Rate
res-pois-len,Poison Length Reduced by (\d+)%
dmg,Damage \+(\d+)
howl,Hit Causes Monster to Flee (\d+)%
stupidity,Hit Blinds Target \+(\d+)
ignore-ac,Ignore Target's Defense
reduce-ac,-(\d+)% Target Defense
noheal,Prevent Monster Heal
half-freeze,Half Freeze Duration
att%,(\d+)% Bonus to Attack Rating
dmg-ac,-(\d+) to Monster Defense Per Hit
dmg-demon,\+(\d+)% Damage to Demons
dmg-undead,\+(\d+)% Damage to Undead
att-demon,\+(\d+) to Attack Rating against Demons
att-undead,\+(\d+) to Attack Rating against Undead
fireskill,\+(\d+) to Fire Skills
allskills,\+(\d+) to All Skills
light-thorns,Attacker Takes Lightning Damage of (\d+)
freeze,Freezes Target \+(\d+)
openwounds,(\d+)% Chance of Open Wounds
crush,(\d+)% Chance of Crushing Blow
kick,\+(\d+) Kick Damage
mana-kill,\+(\d+) to Mana after each Kill
demon-heal,\+(\d+) Life after each Demon Kill
deadly,(\d+)% Deadly Strike
slow,Slows Target by (\d+)%
nofreeze,Cannot Be Frozen
stamdrain,(\d+)% Slower Stamina Drain
reanimate,Reanimate As: [Returned]
pierce,Piercing Attack
magicarrow,Fires Magic Arrows
explosivearrow,Fires Explosive Arrows or Bolts
dru,\+(\d+) to Druid Skill Levels
ass,\+(\d+) to Assassin Skill Levels
skill,([+]?\d+) to [Skill] ([Class] only)
skilltab,([+]?\d+) to [Class Skill Tab] Skills
skilltab0,\+(\d+) to Bow & Crossbow Skills \(Amazon only\)
skilltab1,\+(\d+) to Passive & Magic Skills \(Amazon only\)
skilltab2,\+(\d+) to Spear & Javelin Skills \(Amazon only\)
skilltab3,\+(\d+) to Fire Skills \(Sorceress only\)
skilltab4,\+(\d+) to Lightning Skills \(Sorceress only\)
skilltab5,\+(\d+) to Cold Skills \(Sorceress only\)
skilltab6,\+(\d+) to Curses \(Necromancer only\)
skilltab7,\+(\d+) to Poison & Bone Skill \(Necromancer only\)
skilltab8,\+(\d+) to Summoning Skills \(Necromancer only\)
skilltab9,\+(\d+) to Offensive Auras \(Paladin only\)
skilltab10,\+(\d+) to Combat Skills \(Paladin only\)
skilltab11,\+(\d+) to Defensive Auras \(Paladin only\)
skilltab12,\+(\d+) to Masteries Skills \(Barbarian only\)
skilltab13,\+(\d+) to Combat Skills \(Barbarian only\)
skilltab14,\+(\d+) to Warcries Skills \(Barbarian only\)
skilltab15,\+(\d+) to Summoning Skills \(Druid only\)
skilltab16,\+(\d+) to Shapeshifting Skills \(Druid only\)
skilltab17,\+(\d+) to Elemental Skills \(Druid only\)
skilltab18,\+(\d+) to Traps Skills \(Assassin only\)
skilltab19,\+(\d+) to Shadow Disciplines Skills \(Assassin only\)
skilltab20,\+(\d+) to Martial Arts Skills \(Assassin only\)
aura,Level (\d+) [Skill] Aura When Equipped
aura1,Level (\d+) Concentration Aura When Equipped
aura2,Level (\d+) Conviction Aura When Equipped
aura3,Level (\d+) Defiance Aura When Equipped
aura4,Level (\d+) Fanaticism Aura When Equipped
